,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}"
2022-12-29 15:40:00,6441508864.0,4715376640.0,842133504.0,877850624.0
2022-12-29 15:40:01,6427684864.0,4711817216.0,840744960.0,875720704.0
2022-12-29 15:40:02,6433693696.0,4716183552.0,841019392.0,876232704.0
2022-12-29 15:40:03,6439067648.0,4719202304.0,842018816.0,877322240.0
2022-12-29 15:40:04,6434471936.0,4715466752.0,842559488.0,877162496.0
2022-12-29 15:40:05,6434422784.0,4714725376.0,843599872.0,876163072.0
2022-12-29 15:40:06,6432538624.0,4717592576.0,843632640.0,876589056.0
2022-12-29 15:40:07,6430670848.0,4711579648.0,842051584.0,876441600.0
2022-12-29 15:40:08,6444470272.0,4715757568.0,844439552.0,877137920.0
2022-12-29 15:40:09,6452805632.0,4728504320.0,847159296.0,876855296.0
2022-12-29 15:40:10,6450647040.0,4728283136.0,845262848.0,876339200.0
2022-12-29 15:40:11,6456107008.0,4730949632.0,846585856.0,877895680.0
2022-12-29 15:40:12,6455791616.0,4732354560.0,846745600.0,876371968.0
2022-12-29 15:40:13,6454984704.0,4732100608.0,846786560.0,875888640.0
2022-12-29 15:40:14,6454288384.0,4732018688.0,847294464.0,875614208.0
2022-12-29 15:40:15,6456487936.0,4732506112.0,848916480.0,876154880.0
2022-12-29 15:40:16,6449876992.0,4729507840.0,846508032.0,875274240.0
2022-12-29 15:40:17,6454169600.0,4731256832.0,846635008.0,876060672.0
2022-12-29 15:40:18,6448975872.0,4722683904.0,847900672.0,878235648.0
2022-12-29 15:40:19,6453841920.0,4725395456.0,848424960.0,878211072.0
2022-12-29 15:40:20,6449741824.0,4725612544.0,846643200.0,877355008.0
2022-12-29 15:40:21,6455316480.0,4729704448.0,846737408.0,878870528.0
2022-12-29 15:40:22,6454816768.0,4729946112.0,846479360.0,879697920.0
2022-12-29 15:40:23,6448644096.0,4725641216.0,846446592.0,876326912.0
2022-12-29 15:40:24,6447964160.0,4727742464.0,842518528.0,875843584.0
2022-12-29 15:40:25,6453886976.0,4728807424.0,844365824.0,880791552.0
2022-12-29 15:40:26,6457483264.0,4732776448.0,843894784.0,881405952.0
2022-12-29 15:40:27,6455787520.0,4732133376.0,843722752.0,880746496.0
2022-12-29 15:40:28,6451798016.0,4732198912.0,843272192.0,876462080.0
2022-12-29 15:40:29,6451556352.0,4728856576.0,842727424.0,876978176.0
2022-12-29 15:40:30,6452867072.0,4729270272.0,841945088.0,881606656.0
2022-12-29 15:40:31,6461448192.0,4732022784.0,844042240.0,879943680.0
2022-12-29 15:40:32,6455070720.0,4729327616.0,844001280.0,880627712.0
2022-12-29 15:40:33,6451363840.0,4742684672.0,842969088.0,880500736.0
2022-12-29 15:40:34,6452523008.0,4727623680.0,843640832.0,881131520.0
2022-12-29 15:40:35,6447296512.0,4724166656.0,842887168.0,880459776.0
2022-12-29 15:40:36,6467923968.0,4735025152.0,843403264.0,879464448.0
2022-12-29 15:40:37,6459568128.0,4737249280.0,844226560.0,875896832.0
